影片鍵,發布日期,格式鍵,類型鍵,系列鍵,業配判定鍵,觀看數,按讚數,留言數
260,2011-03-24,1,2,0,1,9181,11,6
261,2011-03-24,1,2,0,1,34718,55,27
262,2011-03-24,1,2,0,1,5516,7,10
263,2011-03-24,1,2,0,1,10630,10,10
264,2011-03-25,1,2,0,1,143319,277,67
265,2011-03-30,1,2,0,1,4014,22,6
266,2011-04-08,1,2,0,1,3979,8,1
267,2011-04-08,1,2,0,1,3772,7,6
268,2011-04-08,1,2,0,1,2667,8,2
269,2011-04-08,1,2,0,1,3937,4,3
270,2011-04-09,1,1,0,1,18976,22,11
271,2011-04-09,1,2,0,1,4571,6,5
272,2011-04-09,1,2,0,1,34042,29,12
273,2011-04-10,1,2,0,1,11667,19,13
274,2011-04-14,1,2,0,1,8265,13,9
275,2011-04-15,1,2,0,1,13083,14,14
276,2011-04-20,1,2,0,1,7568,12,11
277,2011-04-23,1,2,0,1,7913,12,9
278,2011-04-24,1,2,0,1,7350,11,10
279,2011-04-27,1,2,0,1,47976,67,28
280,2011-04-28,1,2,0,1,3490,5,1
281,2011-04-28,1,2,0,1,141859,314,67
282,2011-04-28,1,2,0,1,8692,11,8
283,2011-04-28,1,2,0,1,11992,23,11
284,2011-05-03,1,2,0,1,7502,49,10
285,2011-05-04,1,1,0,1,47704,65,24
286,2011-05-05,1,1,0,1,54095,68,26
287,2011-05-05,1,2,0,1,6171,12,13
288,2011-05-06,1,2,0,1,65744,125,35
289,2011-05-08,1,5,1,1,6596,16,12
290,2011-05-12,1,2,0,1,9056,16,16
291,2011-05-13,1,2,0,1,5063,6,4
292,2011-05-15,1,2,0,1,3998,11,6
293,2011-05-15,1,1,0,1,137873,908,142
294,2011-05-16,1,5,0,1,41815,54,43
295,2011-05-17,1,2,0,1,18663,26,9
296,2011-05-17,1,2,0,1,11232,22,15
297,2011-05-18,1,2,0,1,11302,14,11
298,2011-05-21,1,2,0,1,9346,17,20
299,2011-05-21,1,1,0,1,34134,64,29
300,2011-05-23,1,5,0,1,150345,186,139
301,2011-05-24,1,2,0,1,220097,1219,140
302,2011-05-27,1,4,0,1,19772,83,40
303,2011-05-30,1,5,0,1,20110,12,13
304,2011-05-30,1,5,0,1,17059,12,2
305,2011-05-30,1,2,0,1,18506,33,12
306,2011-05-31,1,2,0,1,195767,795,70
307,2011-06-01,1,1,0,1,20358,79,16
308,2011-06-01,1,1,0,1,80535,119,34
309,2011-06-01,1,1,0,1,9554,21,3
310,2011-06-04,1,4,0,1,11330,63,24
311,2011-06-07,1,2,0,1,142744,496,70
312,2011-06-07,1,1,0,1,61862,116,28
313,2011-06-08,1,5,1,1,35948,45,20
314,2011-06-12,1,2,0,1,14506,31,16
315,2011-06-13,1,1,0,1,23413,85,20
316,2011-06-15,1,2,0,1,142592,502,59
317,2011-06-16,1,2,0,1,8700,24,16
318,2011-06-16,1,2,0,1,17133,148,16
319,2011-06-17,1,1,0,1,281388,3624,417
320,2011-06-18,1,2,0,1,11148,21,9
321,2011-06-18,1,2,0,1,14453,24,15
322,2011-06-20,1,4,0,1,33308,201,77
323,2011-06-22,1,1,0,1,91961,278,86
324,2011-06-25,1,2,0,1,87743,251,83
325,2011-06-29,1,2,0,1,6603,25,8
326,2011-06-29,1,5,1,1,11685,18,13
327,2011-07-03,1,2,0,1,58360,198,21
328,2011-07-03,1,2,0,1,82797,220,34
329,2011-07-05,1,2,0,1,21996,49,12
330,2011-07-05,1,2,0,1,59077,118,26
331,2011-07-06,1,2,0,1,12858,38,2
332,2011-07-06,1,1,0,1,15433,44,14
333,2011-07-07,1,1,0,1,7405,10,4
334,2011-07-07,1,1,0,1,39949,74,25
335,2011-07-07,1,4,0,1,8037,33,31
336,2011-07-11,1,1,0,1,16498,54,17
337,2011-07-27,1,1,0,1,5369,12,4
338,2011-07-27,1,2,0,1,11333,20,6
339,2011-07-27,1,1,0,1,6323,12,5
340,2011-07-27,1,1,0,1,4670,4,1
341,2011-07-28,1,1,0,1,5185,13,3
342,2011-07-29,1,2,0,1,21357,86,12
343,2011-08-02,1,1,0,1,10867,15,9
344,2011-08-02,1,1,0,1,5517,4,1
345,2011-08-02,1,1,0,1,8207,7,1
346,2011-08-02,1,1,0,1,5383,15,0
347,2011-08-02,1,1,0,1,12866,19,11
348,2011-08-02,1,1,0,1,13210,30,6
349,2011-08-02,1,1,0,1,15389,33,13
350,2011-08-06,1,2,0,1,19230,58,15
351,2011-08-23,1,1,0,1,42018,237,49
352,2011-09-13,1,4,0,1,24554,179,47
353,2011-09-14,1,6,0,1,27008,52,23
354,2011-09-15,1,6,0,1,3712,4,0
355,2011-09-15,1,6,0,1,8391,13,7
